Person1|Person2
21990232557266|10995116278566
26388279076957|4398046514978
17592186044691|19791209304132
8796093022970|17592186052357
30786325583109|10995116278566
19791209304132|4398046519955
8796093027983|10995116279501
10995116278730|26388279073335
8796093024830|24189255814881
15393162792747|24189255812653
8796093022975|15393162794106
24189255819563|32985348837862
26388279073156|19791209302972
8796093024366|21990232562960
10995116282597|17592186044691
15393162799202|15393162795979
1077|6597069776653
6597069776653|10995116280896
19791209308978|15393162792433
4398046519955|9256
13194139537192|9256
5202|32985348840725
15393162795979|6597069768070
19791209303273|15393162789992
6597069771605|30786325584552
6597069768070|8796093024830
30786325583444|26388279076957
10995116281998|26388279076957
7763|4398046514324
10995116287647|6597069771605
28587302322247|8796093022975
15393162794627|32985348837862
8796093023107|24189255812653
24189255812653|8796093027983
24189255814881|15393162799202
21990232562087|15393162798620
10995116285046|1077
26388279070243|30786325583444
30786325583635|28587302328232
28587302331847|21990232562960
21990232558783|15393162794627
4398046514978|4398046513883
2199023265230|17592186044691
5248|26388279070243
21990232562960|4398046514978
10995116279167|19791209308978
4398046513883|8796093022975
26388279073335|24189255812426
4398046512387|10995116279501
10995116279501|13194139537192
26388279070079|32985348843767
15393162798620|32985348840725
15393162794106|17592186044691
28587302329992|26388279076957
2199023264234|10995116282597
10995116278566|26388279074461
26388279068391|15393162799202
10995116280896|28587302328232
21990232559533|2199023263628
32985348843767|28587302329992
19791209302972|5202
32985348837862|8796093032440
6597069767348|9256
26388279067923|26388279070079
2199023259490|5202
30786325584552|26388279067923
2199023263628|30786325583635
19791209300634|26388279068391
28587302331437|15393162794627
28587302328232|32985348837862
26388279074461|19791209304132
28587302327380|10995116287647
15393162796535|4398046517478
32985348835311|17592186052357
4398046514324|28587302322247
15393162796337|15393162792433
2199023255562|28587302322247
32985348842860|28587302325842
9256|15393162796535
2199023260083|21990232558783
32985348840725|6597069771605
13194139533909|21990232557266
15393162789992|28587302328000
4398046512494|8796093022970
15393162792433|32985348840725
17592186052357|4398046517478
28587302328000|10995116278566
30786325584317|1077
24189255812426|17592186052357
30786325585147|8796093032440
4398046514167|28587302331437
15393162789162|10995116279501
28587302325842|26388279070243
28587302322727|24189255812653
4398046517478|13194139537192
8796093032440|2199023263628
8796093030979|2199023265230
2199023262839|4398046519955
