creationDate|likeCount
1305993600000|400
1306857600000|400
1307462400000|400
1308067200000|400
1308672000000|400
1309449600000|400
1310054400000|400
1310659200000|400
1311264000000|400
1312128000000|400
1312732800000|400
1313337600000|400
1313942400000|400
1314806400000|400
1315411200000|400
1316016000000|400
1316620800000|400
1317398400000|400
1318003200000|400
1318608000000|400
1319212800000|400
1320076800000|400
1320681600000|400
1321286400000|400
1321891200000|400
1322668800000|400
1323273600000|400
1323878400000|400
1324483200000|400
1325347200000|400
1325952000000|400
1326556800000|400
1327161600000|400
1328025600000|400
1328630400000|400
1329235200000|400
1329840000000|400
1330531200000|400
