Person|Date0
4398046513246|1324252800000
13194139542834|1327536000000
24189255815321|1328313600000
19791209309544|1329091200000
13194139540985|1323907200000
6597069767674|1324857600000
21990232566199|1287619200000
8796093025291|1323820800000
26388279074072|1324857600000
13194139542130|1348358400000
13194139535090|1342051200000
8796093028953|1328745600000
2199023260990|1328745600000
32985348842593|1347667200000
3755|1332806400000
10995116287298|1322784000000
24189255818885|1324512000000
4398046516880|1298937600000
13194139535318|1282608000000
10995116280426|1354060800000
10995116287751|1342137600000
15393162789084|1346025600000
15393162793684|1350950400000
24189255820909|1349481600000
15393162793546|1354060800000
21990232562091|1354060800000
26388279072445|1336867200000
19791209300153|1334620800000
10995116288293|1323129600000
4398046517138|1335830400000
17592186051169|1323561600000
21990232563675|1341792000000
24189255819252|1342742400000
19791209308316|1340150400000
17592186050886|1327276800000
28587302330066|1354060800000
32985348839614|1345420800000
24189255816492|1354060800000
26388279074527|1346803200000
35184372094078|1354060800000
6597069770089|1345334400000
6597069777438|1343001600000
26388279075268|1341100800000
4398046516895|1341532800000
2199023258980|1332028800000
17592186048873|1348099200000
2199023258732|1345161600000
4398046514238|1345334400000
21990232562328|1354060800000
32985348835137|1334016000000
17592186045360|1330128000000
2199023255953|1354060800000
28587302322689|1344816000000
24189255814438|1354060800000
30786325587276|1354060800000
4398046514583|1342137600000
2199023260149|1354060800000
28587302329280|1349395200000
3781|1344643200000
21990232564886|1334102400000
19791209300882|1354060800000
13194139533606|1354060800000
8796093026933|1346457600000
17592186049764|1324080000000
28587302322817|1296604800000
30786325583618|1354060800000
17592186054325|1354060800000
26388279071471|1354060800000
5054|1345420800000
2199023255940|1354060800000
28587302322308|1346630400000
15393162789349|1343779200000
21990232566096|1354060800000
24189255813100|1350259200000
6597069766944|1354060800000
19791209309138|1332806400000
17592186050300|1354060800000
32985348844096|1354060800000
13194139539724|1354060800000
17592186052877|1354060800000
4398046518845|1354060800000
30786325583425|1350086400000
17592186049682|1353369600000
24189255820558|1354060800000
19791209305358|1354060800000
6597069766659|1354060800000
8796093022325|1354060800000
35184372097200|1354060800000
35184372089375|1334620800000
24189255813156|1329004800000
13194139542764|1354060800000
21990232565418|1354060800000
28587302327853|1354060800000
26388279068701|1354060800000
4398046517060|1349308800000
21990232555627|1349654400000
28587302325918|1354060800000
6597069766725|1354060800000
