date1|date2|countries|endDate|messageThreshold
1339084800000|1343750400000|Brazil;China|1356969600000|20
1264089600000|1291132800000|Philippines;China|1356969600000|20
1332345600000|1339084800000|Afghanistan;Burma;China|1356969600000|20
1282406400000|1296489600000|Moldova;Burma;China|1356969600000|20
1267977600000|1291737600000|Liberia;Burma;China|1356969600000|20
1293811200000|1304784000000|Azerbaijan;Burma;China|1356969600000|20
1262275200000|1289750400000|Malta;Burma;China|1356969600000|20
1266768000000|1291737600000|Ethiopia;Tunisia;China|1356969600000|20
1318003200000|1321891200000|Zambia;Tunisia;China|1356969600000|20
1298304000000|1310054400000|France;Tunisia;China|1356969600000|20
1314806400000|1320681600000|France;Tunisia;China|1356969600000|20
1296489600000|1308067200000|Morocco;Tunisia;China|1356969600000|20
1331136000000|1337616000000|Finland;Tunisia;China|1356969600000|20
1294416000000|1305388800000|Bolivia;Tunisia;China|1356969600000|20
1337011200000|1341676800000|Slovakia;Tunisia;China|1356969600000|20
1292342400000|1305388800000|Panama;Tunisia;China|1356969600000|20
1331740800000|1337616000000|Bulgaria;Tunisia;China|1356969600000|20
1338480000000|1343750400000|Denmark;Tunisia;China|1356969600000|20
1266768000000|1289750400000|Iran;Nepal;China|1356969600000|20
1301587200000|1312732800000|Afghanistan;Nepal;China|1356969600000|20
1295020800000|1307462400000|Yemen;Nepal;China|1356969600000|20
1273852800000|1292342400000|Turkey;Nepal;China|1356969600000|20
1273852800000|1291132800000|Cambodia;Nepal;China|1356969600000|20
1313337600000|1320681600000|Peru;Nepal;China|1356969600000|20
1267977600000|1291737600000|Puerto_Rico;Nepal;China|1356969600000|20
1321286400000|1328025600000|Chad;Nepal;China|1356969600000|20
1342886400000|1354291200000|New_Zealand;Nepal;China|1356969600000|20
1305388800000|1317398400000|Mauritius;Nepal;China|1356969600000|20
1337011200000|1342281600000|Netherlands;Cameroon;China|1356969600000|20
1325347200000|1332345600000|Kenya;Cameroon;China|1356969600000|20
1328025600000|1334419200000|Singapore;Cameroon;China|1356969600000|20
1322668800000|1330531200000|Croatia;Cameroon;China|1356969600000|20
1274457600000|1292947200000|Bosnia_and_Herzegovina;Cameroon;China|1356969600000|20
1264089600000|1291737600000|Tajikistan;Cameroon;China|1356969600000|20
1322668800000|1329840000000|Chad;Cameroon;China|1356969600000|20
1279728000000|1293811200000|Republic_of_Macedonia;Cameroon;China|1356969600000|20
1278518400000|1292947200000|Ethiopia;Czech_Republic;China|1356969600000|20
1295020800000|1305388800000|Venezuela;Czech_Republic;China|1356969600000|20
