Person|Date0
19791209309544|1339372800000
10995116280426|1343088000000
21990232564886|1339632000000
13194139535318|1333238400000
3781|1345420800000
6597069777438|1345248000000
28587302329280|1344988800000
4570|1345075200000
21990232565814|1333670400000
2199023259063|1332028800000
13194139535090|1334880000000
15393162793020|1341446400000
24189255820909|1350345600000
8796093031927|1340150400000
24189255811455|1342569600000
17592186051169|1342656000000
32985348844166|1323475200000
4398046514583|1343779200000
26388279075268|1348185600000
26388279068701|1347926400000
13194139538142|1338768000000
28587302322308|1337904000000
26388279074834|1351814400000
6597069766659|1344729600000
24189255815321|1338681600000
17592186050886|1338508800000
24189255816492|1352937600000
26388279074072|1349827200000
17592186048868|1333756800000
17592186049764|1351036800000
28587302330066|1336176000000
17592186051933|1347148800000
4398046517060|1344124800000
2199023264241|1344556800000
13194139542130|1339804800000
8796093022325|1348185600000
28587302322286|1330214400000
28587302332238|1336003200000
30786325587276|1339718400000
24189255819252|1354060800000
2199023260149|1354060800000
17592186054490|1345852800000
24189255818885|1354060800000
26388279072445|1354060800000
32985348835137|1341100800000
6597069773997|1351036800000
4398046513246|1354060800000
26388279074527|1345593600000
17592186054325|1350432000000
30786325583425|1353283200000
6597069766725|1354060800000
2199023255940|1339372800000
13194139539724|1354060800000
8796093027367|1337040000000
21990232566096|1341792000000
2199023255953|1354060800000
13194139540985|1341964800000
17592186045360|1354060800000
19791209300882|1354060800000
28587302324393|1354060800000
28587302322689|1348099200000
4398046517753|1354060800000
6597069771814|1354060800000
2199023260581|1336521600000
2199023258732|1354060800000
6597069777312|1354060800000
19791209309138|1354060800000
21990232562328|1354060800000
10995116288293|1346457600000
21990232566199|1342137600000
28587302327536|1354060800000
4398046521818|1344297600000
26388279072666|1354060800000
28587302325918|1345248000000
17592186049682|1354060800000
19791209300153|1354060800000
28587302327853|1341100800000
6597069776117|1341878400000
6597069767061|1345593600000
32985348839614|1338768000000
2199023265470|1349827200000
4398046513906|1354060800000
21990232565418|1342915200000
2199023260990|1354060800000
4398046516880|1346025600000
5054|1348099200000
21990232555627|1354060800000
17592186054293|1340668800000
28587302327166|1345593600000
32985348842593|1354060800000
30786325583618|1354060800000
21990232562252|1354060800000
19791209308316|1354060800000
2199023258980|1351209600000
32985348840106|1354060800000
24189255820558|1354060800000
35184372094078|1354060800000
15393162790770|1354060800000
