Person|Date0
26388279076957|1347321600000
21990232557266|1344038400000
17592186044691|1344556800000
30786325583109|1347580800000
8796093022970|1344124800000
19791209304132|1344816000000
8796093027983|1346025600000
8796093024830|1347580800000
10995116278730|1347494400000
15393162792747|1346457600000
8796093022975|1345852800000
24189255819563|1344470400000
26388279073156|1347667200000
8796093024366|1346803200000
10995116282597|1345680000000
15393162799202|1344902400000
1077|1348444800000
6597069776653|1348444800000
19791209308978|1347062400000
4398046519955|1345161600000
15393162795979|1347580800000
5202|1347235200000
13194139537192|1346025600000
19791209303273|1344988800000
6597069771605|1345507200000
6597069768070|1343779200000
30786325583444|1346803200000
7763|1348272000000
10995116287647|1347062400000
10995116281998|1346630400000
15393162794627|1347148800000
28587302322247|1345852800000
24189255814881|1349049600000
8796093023107|1346457600000
10995116285046|1345680000000
21990232562087|1347753600000
24189255812653|1341619200000
30786325583635|1344988800000
28587302331847|1344988800000
26388279070243|1344643200000
21990232558783|1346803200000
4398046514978|1347580800000
2199023265230|1344470400000
21990232562960|1345075200000
5248|1344729600000
10995116279167|1349049600000
4398046513883|1344384000000
26388279073335|1347926400000
4398046512387|1345939200000
26388279070079|1346457600000
10995116279501|1345248000000
15393162798620|1346457600000
2199023264234|1345593600000
15393162794106|1345334400000
28587302329992|1347408000000
10995116280896|1346976000000
26388279068391|1345420800000
32985348843767|1347494400000
10995116278566|1345852800000
21990232559533|1347235200000
19791209302972|1346544000000
32985348837862|1345248000000
6597069767348|1347667200000
30786325584552|1346716800000
26388279067923|1345075200000
2199023259490|1346716800000
2199023263628|1345161600000
19791209300634|1347321600000
28587302331437|1344556800000
28587302328232|1349049600000
26388279074461|1347753600000
28587302327380|1345766400000
15393162796535|1344988800000
15393162796337|1346457600000
4398046514324|1347062400000
32985348835311|1345075200000
32985348842860|1346976000000
2199023255562|1347235200000
9256|1344643200000
2199023260083|1346716800000
32985348840725|1345680000000
15393162789992|1345420800000
13194139533909|1347321600000
15393162792433|1348099200000
4398046512494|1344384000000
17592186052357|1349568000000
28587302328000|1345680000000
30786325584317|1344384000000
24189255812426|1348185600000
30786325585147|1345939200000
4398046514167|1347840000000
15393162789162|1344988800000
28587302325842|1343952000000
8796093032440|1347840000000
4398046517478|1344556800000
28587302322727|1345593600000
8796093030979|1345248000000
2199023262839|1347062400000
